STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT08,WT10
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",1/1/19,15.88,0,0,0,,61,49,,70,70,31.1,40.9,,,,,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",1/2/19,4.25,0,0,0,,65,44,,50,60,21,30,,,,,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",1/3/19,2.91,0,0,0,,64,41,,200,190,12.1,13,,,,,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",1/4/19,2.68,0,0,0,,63,42,,200,210,13,16.1,,,,,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",1/5/19,4.7,0.5,,0,,60,49,,320,330,13,17,1,,,,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",1/6/19,3.58,0.02,,0,,60,48,,220,230,10.1,14.1,1,,,1,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",1/7/19,3.58,0.02,0,0,,64,52,,200,210,12.1,13,1,,,1,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",1/8/19,2.91,0,0,0,,71,49,,210,210,13,14.1,,,,,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",1/9/19,2.91,0,0,0,,67,48,,90,240,10.1,14.1,,,,1,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",1/10/19,3.36,0,0,0,,64,50,,220,260,8.9,12.1,1,,,1,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",1/11/19,3.8,0,0,0,,63,53,,210,210,14.1,17,1,,,1,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",1/12/19,3.13,1.17,0,0,,62,51,,70,70,23.9,30,1,,1,1,1
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",1/13/19,2.01,0,0,0,,62,46,,220,110,8.9,11,,,,,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",1/14/19,3.8,0.62,0,0,,60,51,,100,150,13,21,1,,,,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",1/15/19,6.04,0.95,0,0,,62,52,,170,180,21,27.1,1,,,,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",1/16/19,7.61,0.53,0,0,,64,58,,140,150,16.1,23,1,,,1,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",1/17/19,8.28,0.52,0,0,,62,55,,200,180,18.1,23.9,1,,,,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",1/18/19,2.91,0,0,0,,65,54,,210,120,12.1,13,1,,,,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",1/19/19,1.79,0,0,0,,76,49,,200,110,8.9,11,1,,,,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",1/20/19,2.91,0,0,0,,73,51,,240,240,14.1,19.9,,,,,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",1/21/19,6.26,0,0,0,,65,48,,300,330,16.1,27.1,,,,,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",1/22/19,9.62,0,0,0,,69,43,,20,30,23.9,32,,,,,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",1/23/19,2.91,0,0,0,,68,45,,60,60,14.1,19.9,,,,,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",1/24/19,2.24,0,0,0,,73,44,,220,200,10.1,13,,,,,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",1/25/19,3.58,0,0,0,,79,46,,270,10,8.9,14.1,,,,,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",1/26/19,5.82,0,0,0,,83,51,,30,60,23,34,,,,1,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",1/27/19,2.01,0,0,0,,75,50,,190,290,10.1,14.1,,,,,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",1/28/19,2.91,0,0,0,,72,49,,210,210,12.1,13,,,,1,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",1/29/19,4.25,0,0,0,,67,54,,210,220,13,16.1,,,,1,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",1/30/19,3.8,0,0,0,,65,55,,210,210,12.1,15,,,,1,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",1/31/19,4.47,0.7,0,0,,62,53,,70,80,23,29.1,1,,1,1,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",2/1/19,5.14,0,,0,,64,49,,210,160,15,18.1,,,,,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",2/2/19,8.05,1.55,0,0,,63,53,,140,140,30,42.9,1,,,,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",2/3/19,6.04,0.11,0,0,,61,52,,220,220,16.1,21,1,,,1,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",2/4/19,6.93,0.63,0,0,,60,52,,210,210,21,27.1,1,,,1,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",2/5/19,5.59,0.14,,0,,57,48,,210,220,17,25.9,1,,,,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",2/6/19,3.36,0,0,0,,57,38,,260,230,13,18.1,,,,,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",2/7/19,2.91,0,0,0,,61,40,,220,220,10.1,16.1,,,,,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",2/8/19,2.24,0,0,0,,61,41,,210,220,12.1,15,,,,,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",2/9/19,4.25,0.23,,0,,61,47,,180,190,16.1,21.9,1,,,,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",2/10/19,3.58,0.17,,0,,58,45,,220,230,16.1,19.9,1,,,,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",2/11/19,2.91,0,0,0,,59,40,,200,160,10.1,15,,,,,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",2/12/19,1.79,0,0,0,,71,40,,190,190,12.1,13,,,,,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",2/13/19,5.82,0.27,0,0,,63,52,,180,180,19.9,27.1,1,,,1,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",2/14/19,9.4,2.11,0,0,,63,54,,210,160,23,33.1,1,,,,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",2/15/19,4.03,0.12,,0,,62,49,,200,200,15,18.1,1,,,,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",2/16/19,5.59,0,,0,,60,48,,230,300,15,21.9,,,,,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",2/17/19,6.71,0.08,,0,,58,45,,260,270,17,25.1,,,,,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",2/18/19,3.13,0.02,,0,,57,39,,60,50,25.1,32,,,,,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",2/19/19,3.36,0,0,0,,58,37,,200,200,14.1,18.1,,,,,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",2/20/19,6.93,0.02,,0,,57,41,,200,190,16.1,21,,,,,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",2/21/19,6.71,0.03,,0,,56,43,,20,20,31.1,40,,,1,,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",2/22/19,2.91,0,0,0,,60,38,,220,210,14.1,18.1,,,,,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",2/23/19,4.25,0,0,0,,61,42,,210,210,13,16.1,,,,,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",2/24/19,2.68,0,0,0,,66,43,,220,230,12.1,16.1,,,,,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",2/25/19,3.36,0,0,0,,65,48,,210,210,12.1,16.1,,,,,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",2/26/19,4.03,0,,0,,64,48,,210,190,12.1,15,1,1,,1,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",2/27/19,3.8,0.01,0,0,,64,51,,230,210,10.1,14.1,,,,,
USW00093184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",2/28/19,4.7,0,0,0,,67,57,,210,190,14.1,18.1,1,,,1,